Run,Min,Max,Mean
1,0.162769213,0.541643209,0.336854113
2,0.162655816,0.425409945,0.346269718
3,0.153759337,0.39097766,0.262533649
4,0.196765277,0.439963481,0.275367953
5,0.149666678,0.417727584,0.296559954
6,0.19925,0.422793383,0.339557745
7,0.177184605,0.391548079,0.261632266
8,0.174025829,0.415858149,0.296550202
9,0.167625522,0.406031701,0.321236057
10,0.170604094,0.371133955,0.269326865
11,0.169069473,0.435443109,0.301903355
12,0.195981117,0.383898021,0.300609202
13,0.163508154,0.404432187,0.300633111
14,0.2,0.513530553,0.320410666
15,0.192078267,0.445313033,0.331358129
16,0.19925,0.407662903,0.31031433
17,0.188806194,0.441065903,0.32988476
18,0.1809932,0.383054149,0.269537299
19,0.2,0.592341118,0.375546033
20,0.2,0.383568957,0.283354114
21,0.19675,0.450261253,0.366954313
22,0.197790936,0.48472843,0.290907194
23,0.198876255,0.375115614,0.296670991
24,0.2,0.540066738,0.335586994
25,0.2,0.475254728,0.359373388
26,0.1955,0.386918951,0.311846633
27,0.2,0.42888944,0.313116842
28,0.2,0.403122322,0.306775311
29,0.190650453,0.340066407,0.277815969
30,0.2,0.53274386,0.452834802
31,0.179046736,0.436358539,0.300983736
32,0.1995,0.394074816,0.279910448
33,0.2,0.529407996,0.393642195
34,0.2,0.454904764,0.322061622
35,0.184255003,0.424647073,0.304834751
36,0.112076962,0.461086351,0.360972544
37,0.198,0.449257321,0.297959645
38,0.162897872,0.516907715,0.322197446
39,0.2,0.469149338,0.322810351
40,0.2,0.507499819,0.356256268
41,0.19530411,0.40550918,0.298102861
42,0.194222167,0.443083724,0.36936738
43,0.145684587,0.423398083,0.265972046
44,0.2,0.467505204,0.363364021
45,0.198418445,0.470883551,0.318358266
46,0.2,0.452734344,0.30382885
47,0.19875,0.493523301,0.357296163
48,0.198,0.428554141,0.321184146
49,0.2,0.545225829,0.425529534
50,0.2,0.42961977,0.354005876
51,0.19875,0.430952782,0.333671165
52,0.198381936,0.385360353,0.286988792
53,0.151670791,0.508347335,0.327659428
54,0.188960803,0.436864012,0.296087237
55,0.187582948,0.349302786,0.263638381
56,0.177067689,0.347028986,0.286998471
57,0.136116756,0.478801574,0.297858878
58,0.193194298,0.41524447,0.320172104
59,0.184216584,0.437273513,0.30170113
60,0.2,0.473385243,0.358096199
61,0.19625,0.487971436,0.391108419
62,0.10017064,0.431282274,0.307210537
63,0.182964356,0.415659926,0.297606564
64,0.2,0.441566973,0.350933737
65,0.2,0.428588406,0.336286149
66,0.194944259,0.450893075,0.299349168
67,0.2,0.509750836,0.345254723
68,0.2,0.437291592,0.324287802
69,0.179631206,0.430895422,0.300272727
70,0.2,0.464173936,0.340871351
71,0.2,0.407407033,0.282939333
72,0.2,0.491724857,0.358211356
73,0.2,0.485132078,0.306642834
74,0.1995,0.457144573,0.330663879
75,0.2,0.521430657,0.318024005
76,0.2,0.441252622,0.30640197
77,0.2,0.500508003,0.360485705
78,0.16525559,0.402969087,0.292928362
79,0.2,0.530779747,0.400624618
80,0.197807113,0.339114531,0.264982935
81,0.2,0.501150045,0.354206318
82,0.2,0.443957317,0.329244171
83,0.163986114,0.450599037,0.333188168
84,0.178311669,0.381445032,0.29909145
85,0.164841754,0.365919713,0.26595073
86,0.196254592,0.373531674,0.308738818
87,0.1985,0.42934984,0.351547657
88,0.19547231,0.441680401,0.34767838
89,0.187270454,0.435564027,0.288031276
90,0.2,0.343022709,0.2864093
91,0.2,0.478586631,0.325485099
92,0.2,0.512797447,0.313344774
93,0.151167637,0.42664109,0.277605795
94,0.2,0.55198327,0.421961977
95,0.198672175,0.476092883,0.301345598
96,0.2,0.468133507,0.31054544
97,0.2,0.574713705,0.415045732
98,0.1995,0.388897272,0.294530877
99,0.2,0.607677757,0.440280938
100,0.2,0.45107064,0.316510602
